net,length_um
_01648_,78.78
_00591_,78.66
_00786_,78.5
_04475_,78.46
_03114_,78.3
_05200_,78.28
_06077_,78.26
_04386_,78.02
_04725_,77.98
_05821_,77.82
_06078_,77.79
net68,77.66
_05199_,77.54
_04103_,77.47
_04461_,77
_06929_,76.99
_06632_,76.84
_01247_,76.28
_06513_,76.22
_06877_,75.95
_01149_,75.94
_03588_,75.8
_01011_,75.46
_06009_,75.375
_05259_,75.26
_05141_,75.24
_01820_,75.22
net2,75.22
_05408_,74.94
_04503_,74.86
_02491_,74.76
_02387_,74.54
_05198_,74.16
_05842_,74.04
_05335_,73.5
_01572_,73.36
_01246_,72.66
_00557_,72.4
_06498_,72.2
net131,72.06
_04427_,71.94
_03026_,71.72
_04191_,71.63
_04525_,71.6
_00194_,71.38
_01365_,71.02
_04182_,70.545
net114,70.54
_05825_,70.47
_03598_,70.3
_01054_,70.21
_04624_,69.72
_02693_,69.56
_03569_,69.56
net3,69.48
_05751_,69.42
_04527_,68.94
_04829_,68.79
_06760_,68.72
_05304_,68.68
_05700_,68.66
_04334_,68.56
_02298_,68.46
_02299_,67.76
_05133_,67.74
_01545_,67.64
_01520_,67.16
_01056_,67.12
_05685_,67
_01385_,66.96
_01976_,66.54
_01443_,66.31
_04584_,66.3
_04345_,66.28
_05942_,66.16
_06074_,66.16
_02916_,65.84
_05020_,65.38
_02274_,65.04
_05725_,64.68
_00116_,64.62
net113,64.62
_05178_,64.58
_06617_,64.42
_06648_,64.08
_05820_,64.06
_05694_,63.98
_05826_,63.98
_04606_,63.66
_04514_,63.34
_05318_,63.04
_05167_,62.9
_06616_,62.76
_06781_,62.52
_02596_,62.48
_00756_,62.44
_05191_,62.34
_00198_,62.2
_00221_,62.18
_06697_,61.92
_02331_,61.86
_02108_,61.78
_00259_,61.63
_02424_,61.42
_06527_,61.4
_06619_,60.8
_06767_,60.76
_06654_,60.74
_00578_,60.62
_02049_,60.24
_03118_,60.06
_01435_,59.96
_04326_,59.92
_04321_,59.82
_03840_,59.52
_00265_,59.46
_01351_,59.3
_06032_,59.12
_00007_,58.82
_05441_,58.58
_06538_,58.49
_05679_,58.475
